                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.656,                 2.2808,                 1.1244,                0.95713,                0.10846,                0.33425,                0.17451,                  1.505,                 2.3251,                  1.085,             0.00041118,             0.00041118,             0.00041118
                      2,                 1.5681,                 1.4438,                  1.115,                0.73405,                0.31542,                0.34404,                0.18409,                 1.4957,                 1.5194,                 1.0834,             0.00079507,             0.00079507,             0.00079507
                      3,                 1.5799,                 1.3821,                 1.1166,                 0.6722,                0.34244,                0.36133,                0.18171,                 1.5153,                 1.3099,                  1.118,               0.001146,               0.001146,               0.001146
                      4,                 1.5745,                 1.3014,                 1.1171,                0.69064,                0.35229,                 0.3812,                0.19514,                 1.4546,                 1.2529,                 1.0828,              0.0011015,              0.0011015,              0.0011015
                      5,                 1.5076,                 1.2242,                 1.0945,                0.71279,                0.35424,                0.39658,                0.20481,                 1.4555,                  1.193,                 1.0876,              0.0011015,              0.0011015,              0.0011015
                      6,                 1.4848,                 1.1615,                 1.0854,                0.76194,                0.36268,                0.41775,                0.22247,                 1.3796,                  1.098,                  1.058,               0.001052,               0.001052,               0.001052
                      7,                 1.4817,                 1.1292,                 1.0779,                0.74556,                0.35711,                0.41476,                0.22152,                 1.3792,                 1.0696,                 1.0766,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.4586,                 1.0999,                 1.0781,                0.72882,                0.35755,                0.40196,                0.21875,                 1.4075,                 1.0548,                 1.0704,               0.000953,               0.000953,               0.000953
                      9,                 1.4235,                 1.0589,                 1.0618,                0.75184,                 0.3922,                0.44395,                0.23372,                 1.3809,                 0.9936,                 1.0638,              0.0009035,              0.0009035,              0.0009035
                     10,                 1.4082,                 1.0313,                 1.0562,                0.73248,                0.37734,                0.43336,                  0.234,                  1.356,                0.99165,                 1.0459,               0.000854,               0.000854,               0.000854
                     11,                 1.3938,                  1.013,                 1.0547,                0.74633,                0.39218,                0.42334,                0.22832,                 1.3781,                 1.0516,                 1.0672,              0.0008045,              0.0008045,              0.0008045
                     12,                 1.3854,                0.97865,                  1.043,                0.75477,                0.41031,                0.45446,                0.24131,                 1.3428,                   0.94,                 1.0432,               0.000755,               0.000755,               0.000755
                     13,                 1.3579,                0.95871,                 1.0389,                0.74601,                0.41597,                0.45608,                0.24854,                 1.3183,                0.91246,                 1.0376,              0.0007055,              0.0007055,              0.0007055
                     14,                 1.3527,                0.95448,                  1.039,                0.76427,                0.43329,                 0.4694,                0.25378,                 1.3157,                 0.9083,                 1.0486,               0.000656,               0.000656,               0.000656
                     15,                 1.3377,                0.93065,                 1.0311,                0.78057,                0.39655,                0.46861,                0.24842,                 1.3243,                0.91282,                 1.0374,              0.0006065,              0.0006065,              0.0006065
                     16,                 1.3076,                0.92861,                 1.0244,                0.73672,                0.40976,                0.45378,                0.24344,                 1.3395,                0.92518,                 1.0393,               0.000557,               0.000557,               0.000557
                     17,                 1.3006,                0.90081,                 1.0248,                 0.7715,                0.39729,                 0.4622,                0.25112,                 1.3304,                0.90309,                 1.0415,              0.0005075,              0.0005075,              0.0005075
                     18,                 1.2754,                0.87092,                 1.0099,                0.76596,                 0.4168,                0.47488,                0.25984,                 1.3163,                0.88706,                 1.0312,               0.000458,               0.000458,               0.000458
                     19,                  1.266,                0.85716,                 1.0099,                0.78245,                0.41583,                0.47664,                0.25762,                 1.2989,                0.87102,                 1.0309,              0.0004085,              0.0004085,              0.0004085
                     20,                 1.2556,                0.83771,                 1.0042,                0.78862,                0.41367,                0.47868,                0.26181,                 1.2862,                0.84516,                 1.0289,               0.000359,               0.000359,               0.000359
                     21,                 1.2269,                0.81906,                0.99949,                0.78929,                0.41854,                0.48878,                0.26961,                 1.2715,                0.82924,                 1.0236,              0.0003095,              0.0003095,              0.0003095
                     22,                 1.2286,                0.81315,                0.99262,                0.78517,                 0.4184,                0.48023,                0.26454,                 1.2818,                0.83447,                 1.0252,                0.00026,                0.00026,                0.00026
                     23,                 1.2074,                0.79336,                0.98804,                0.79377,                0.40861,                0.50093,                  0.276,                 1.2659,                  0.829,                 1.0184,              0.0002105,              0.0002105,              0.0002105
                     24,                 1.1931,                0.78099,                0.97804,                0.80362,                0.42732,                 0.4934,                0.27233,                  1.271,                0.81728,                  1.023,               0.000161,               0.000161,               0.000161
                     25,                 1.1819,                0.76771,                 0.9835,                0.79187,                 0.4402,                0.50683,                0.27749,                 1.2532,                 0.8103,                 1.0183,              0.0001115,              0.0001115,              0.0001115
